V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
0.19047619047619,0,0,0.142857142857143,0,0.0476190476190476,0,0.0952380952380952,0.0476190476190476,0,0.0476190476190476,0.0952380952380952,0.0952380952380952,0.0476190476190476,0,0,0.0476190476190476,0.142857142857143,0,0,0.0714285714285715,20,4.52382390554415,0.327411845865915
0.2,0.05,0,0.2,0,0.05,0,0,0.15,0,0.05,0,0,0.05,0,0,0,0.05,0.1,0.1,-0.91,19,4.94794375916791,0.0724784386570807
0.166666666666667,0,0.0555555555555556,0.0555555555555556,0,0.166666666666667,0.111111111111111,0.0555555555555556,0,0.111111111111111,0.111111111111111,0.0555555555555556,0,0,0,0,0,0.111111111111111,0,0,0.644444444444444,17,5.15215139880035,0.23035338910318
0.05,0,0.05,0,0.1,0,0.1,0.05,0.05,0.05,0.05,0,0,0.05,0.2,0,0.2,0.05,0,0,-0.815,19,12.0042727459946,0.409606388715882
0.0333333333333333,0.0333333333333333,0.0666666666666667,0.133333333333333,0.0333333333333333,0,0,0.0333333333333333,0.0666666666666667,0.0333333333333333,0.0333333333333333,0,0,0.133333333333333,0.133333333333333,0,0.1,0.1,0.0666666666666667,0,-1.16,29,6.29584575336934,0.313412495969136
0.272727272727273,0,0.0454545454545455,0.0909090909090909,0,0.0454545454545455,0,0,0.0454545454545455,0.0454545454545455,0,0,0.0454545454545455,0,0.181818181818182,0,0.0454545454545455,0.136363636363636,0.0454545454545455,0,-0.4,21,10.6730800093997,0.229206255739599
0.233333333333333,0,0.0333333333333333,0.0333333333333333,0.0666666666666667,0.0666666666666667,0.0333333333333333,0.1,0,0.1,0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0666666666666667,0,0.0666666666666667,0.0333333333333333,0,0.0666666666666667,0.49,29,6.75110270043274,0.287456905251886
0.212121212121212,0,0.0606060606060606,0.0606060606060606,0.0303030303030303,0.0606060606060606,0.0303030303030303,0.0606060606060606,0,0.0909090909090909,0,0,0.0303030303030303,0.0606060606060606,0.0606060606060606,0.0303030303030303,0.0909090909090909,0.0303030303030303,0.0303030303030303,0.0606060606060606,-0.0606060606060607,32,4.901433715213,0.283940996650588
0.121212121212121,0,0.0303030303030303,0.0909090909090909,0.0303030303030303,0.0909090909090909,0,0.0606060606060606,0.0606060606060606,0.0909090909090909,0.0303030303030303,0.0606060606060606,0.0303030303030303,0,0.0303030303030303,0.0909090909090909,0.0303030303030303,0.151515151515152,0,0,0.427272727272727,32,4.87182580268363,0.13161010744723
0.166666666666667,0,0.0555555555555556,0.166666666666667,0.0555555555555556,0.0555555555555556,0,0.111111111111111,0.111111111111111,0.0555555555555556,0,0.0555555555555556,0,0,0.0555555555555556,0.0555555555555556,0,0.0555555555555556,0,0,-0.322222222222222,17,4.87066593120722,0.134336771922318
